feature,support,ROC_AUC,PR_AUC,F1_best,t_star,TP,FP,TN,FN,split
len_char,27417,0.7493247673654092,0.2149759512447682,0.360298410638988,3.4011974334716797,2777,9275,14779,586,train
delta_cos,27417,0.5696112592439635,0.1417418524825798,0.23904833836858005,0.526168692111969,2532,15289,8765,831,train
is_back,27417,0.43316626573261013,0.12248103717773656,0.21851851851851853,0.0,3363,24054,0,0,train
is_short,27417,0.4836599994644818,0.12245510037045611,0.21851851851851853,0.0,3363,24054,0,0,train
jaccard,27417,0.4817650350147593,0.11345839283719673,0.21851851851851853,0.0,3363,24054,0,0,train
tfidf_cos,27417,0.4767952785685078,0.11284691773645031,0.21851851851851853,0.0,3363,24054,0,0,train
speaker_switch,27417,0.3294483598344403,0.098294792680491,0.21851851851851853,0.0,3363,24054,0,0,train
local_sim_k3,27417,0.33621662687241943,0.08640356257946606,0.21851851851851853,0.0,3363,24054,0,0,train
